ID,SHORT NAME,LIST NAME,FULL NAME,ADJECTIVE/INHABITANT,CAPITAL_CITY,CURRENCY NAME,CURRENCY SYMBOL,NOTES,ENGLISH_LIST NAME
15447,Maldives,Maldives,the Republic of Maldives,Maldivian,Male' (or Male - no apostrophe),rufiyaa,Rf,,Maldives
15448,Mali,Mali,the Republic of Mali,Malian,Bamako,CFA franc (BCEAO),CFAF,"CFA: Communauté Financière Africaine (African Financial Community).
BCEAO: Banque centrale des États de l'Afrique de l'Ouest (Central Bank of West African States).",Mali
15449,Malta,Malta,the Republic of Malta,Maltese,Valletta,euro,EUR; €,,Malta
79189,Marion Island,Marion Island,Marion Island,,,,,,Marion Island
15519,Marshall Islands (the),Marshall Islands,the Republic of the Marshall Islands,of the Marshall Islands; Marshallese,Majuro,United States dollar,$; US$,"1. Governmental buildings are housed on three islands of Majuro atoll: Darrit, Uliga, and Delap. 
2. On 22 December 1990, Security Council Resolution 683 recognized that the applicability of the Trust Territory of the Pacific Islands created by the Trusteeship Agreement was terminated and that the Northern Mariana Islands, the Federated States of Micronesia, the Marshall Islands and Palau could adopt resolutions approving their new status.",Marshall Islands
19025,Martinique,Martinique,Martinique,Martinican,Fort-de-France,euro,EUR; €,,Martinique
15450,Mauritania,Mauritania,the Islamic Republic of Mauritania,Mauritanian,Nouakchott,ouguiya,UM,,Mauritania
15451,Mauritius,Mauritius,the Republic of Mauritius,Mauritian,Port Louis,Mauritian rupee,MUR,,Mauritius
79224,Mayotte,Mayotte,Mayotte,,Mamoutzou,euro,EUR; €,,Mayotte
15452,Mexico,Mexico,the United Mexican States,Mexican,Mexico City,Mexican peso,Mex$,,Mexico
15518,Federated States of Micronesia (the),Micronesia (Federated States of),the Federated States of Micronesia,of the Federated States of Micronesia,Palikir,United States dollar,$; US$,"1. On 22 December 1990, Security Council Resolution 683 recognized that the applicability of the Trust Territory of the Pacific Islands created by the Trusteeship Agreement was terminated and that the Northern Mariana Islands, the Federated States of Micronesia, the Marshall Islands and Palau could adopt resolutions approving their new status.
2. Please use the short name for lists and tables, i.e. Micronesia (Federated States of), in alphabetical lists, tables, in-text lists preceded by a colon and nameplates. For all other purposes, including in-text lists not preceded by a colon, please use the full name, i.e. the Federated States of Micronesia.",Micronesia (Federated States of)
159021,Midway Islands (the),Midway Islands,the Midway Islands,,,,,"Johnston Island, the Midway Islands, the United States Miscellaneous Pacific Islands and Wake Island have been reunited under the United States Minor Outlying Islands. ",Midway Islands
19026,Monaco,Monaco,the Principality of Monaco,Monegasque,Monaco,euro,EUR; €,,Monaco
15453,Mongolia,Mongolia,Mongolia,Mongolian,Ulaanbaatar,tugrik,Tog,,Mongolia
72720,Montenegro,Montenegro,Montenegro,Montenegrin,Podgorica,euro,EUR; €,,Montenegro
19027,Montserrat,Montserrat,Montserrat,of Montserrat,Plymouth,East Caribbean dollar,EC$,,Montserrat
15454,Morocco,Morocco,the Kingdom of Morocco,Moroccan,Rabat,Moroccan dirham,DH,,Morocco
