x,y,cell_area,ID_mrgd,name_merge
88.5,88.5,324928064,165,Central Arctic
89.5,88.5,324935936,165,Central Arctic
90.5,88.5,324942208,165,Central Arctic
91.5,88.5,324947712,165,Central Arctic
92.5,88.5,324950944,165,Central Arctic
93.5,88.5,324950560,165,Central Arctic
94.5,88.5,324949152,165,Central Arctic
95.5,88.5,324945600,165,Central Arctic
96.5,88.5,324939136,165,Central Arctic
97.5,88.5,324931392,165,Central Arctic
98.5,88.5,324922368,165,Central Arctic
99.5,88.5,324912320,165,Central Arctic
100.5,88.5,324902912,165,Central Arctic
101.5,88.5,324890944,165,Central Arctic
102.5,88.5,324878368,165,Central Arctic
