fa_ffcl_shrt,scenario,decade,contnnt,spatial_scale,mean,median,sd,min,max,n_model,agreement,wilcox_p,SD > mean,Loss,,,,,,,,,,,
Saint Pierre and Miquelon,ssp585,2041-2050,Americas,countries,-14.26187323,-14.73268828,6.606450733,-25.86811381,-4.814711617,10,100,1.22E-05,,,,,,,,,,,,,
Congo,ssp585,2041-2050,Africa,countries,-14.24430046,-11.53488909,8.56456294,-30.40938521,-2.485804871,10,100,5.87E-07,,,,,,,,,,,,,
Gambia,ssp126,2041-2050,Africa,countries,-14.22531862,-14.31294605,7.011772183,-26.16866958,-4.940479194,10,100,0.101871223,,,,,,,,,,,,,
Kuwait,ssp126,2041-2050,Asia,countries,-14.12084041,-14.38187435,4.471885886,-18.28813267,-9.431480283,4,100,0.000101276,FALSE,1,,,,,,,,,,,
Chagos Archipelago,ssp585,2041-2050,Asia,countries,-14.04731204,-13.81519024,10.18876629,-36.99126252,-3.209022866,10,100,0.001037153,FALSE,1,,,,,,,,,,,
Oman,ssp585,2041-2050,Asia,countries,-13.87031598,-15.07957164,6.742615801,-23.02619921,-0.688596072,10,100,0.080421656,FALSE,1,,,,,,,,,,,
Angola,ssp126,2041-2050,Africa,countries,-13.78939923,-9.708558701,8.519118912,-30.34449018,-3.45373126,10,100,4.76E-10,,,,,,,,,,,,,
Costa Rica,ssp126,2091-2100,Americas,countries,-13.66358807,-8.279861078,12.71785243,-39.51846571,-0.754508364,10,100,5.29E-05,,,,,,,,,,,,,
Chagos Archipelago,ssp126,2091-2100,Asia,countries,-13.65456305,-12.55280786,4.778908196,-21.64397158,-5.935532059,10,100,7.65E-24,FALSE,,,,,,,,,,,,
Democratic People's Republic of Korea,ssp126,2091-2100,Asia,countries,-13.4974144,-9.80022048,7.847782709,-27.5581533,-4.418292488,10,100,1.46E-11,FALSE,,,,,,,,,,,,
Aruba,ssp585,2091-2100,Americas,countries,-13.38689252,-6.101186421,18.68683885,-34.83008735,12.09912832,10,70,0.005050599,,,,,,,,,,,,,
