"","O_name_En_Website","Short_name_En_Website","Country_name","Continent_name","Continent_ID","ISO3_country","ISO3_territory","O_Name_En_Emmanuel","O_Name_En_Stefania","Romname_Emmanuel","Maplab_Emmanuel","Short_name_En_Website2"
"92",NA,NA,"France","Africa","AFR","FRA","REU","R�union",NA,"Reunion","R�union (Fr.)",NA
"93",NA,NA,"France","America","AME","FRA","MAF","Saint-Martin (French Part)",NA,"Saint Martin","Saint Martin (Fr.)",NA
"94",NA,NA,"France","America","AME","FRA","BLM","Saint Barth�lemy",NA,"Saint Barthelemy","Saint Barth�lemy (Fr.)",NA
"95","the Gabonese Republic","Gabon","Gabon","Africa","AFR","GAB","GAB","the Gabonese Republic","the Gabonese Republic","Gabon","Gabon","Gabon"
"96","the Republic of the Gambia","Gambia (the)","Gambia","Africa","AFR","GMB","GMB","the Republic of the Gambia","the Republic of the Gambia","Gambia","Gambia","Gambia"
"97","Georgia","Georgia","Georgia","Europe","EUR","GEO","GEO","Georgia","Georgia","Georgia","Georgia","Georgia"
"98","the Federal Republic of Germany","Germany","Germany","Europe","EUR","DEU","DEU","the Federal Republic of Germany","the Federal Republic of Germany","Germany","Germany","Germany"
"99","the Republic of Ghana","Ghana","Ghana","Africa","AFR","GHA","GHA","the Republic of Ghana","the Republic of Ghana","Ghana","Ghana","Ghana"
"100","the Hellenic Republic","Greece","Greece","Europe","EUR","GRC","GRC","the Hellenic Republic","the Hellenic Republic","Greece","Greece","Greece"
"101","Grenada","Grenada","Grenada","America","AME","GRD","GRD","Grenada","Grenada","Grenada","Grenada","Grenada"
"102","the Republic of Guatemala","Guatemala","Guatemala","America","AME","GTM","GTM","the Republic of Guatemala","the Republic of Guatemala","Guatemala","Guatemala","Guatemala"
"103","the Republic of Guinea","Guinea","Guinea","Africa","AFR","GIN","GIN","the Republic of Guinea","the Republic of Guinea","Guinea","Guinea","Guinea"
"104","the Republic of Guinea-Bissau","Guinea-Bissau","Guinea-Bissau","Africa","AFR","GNB","GNB","the Republic of Guinea-Bissau","the Republic of Guinea-Bissau","Guinea-Bissau","Guinea-Bissau","Guinea-Bissau"
"105","the Co-operative Republic of Guyana","Guyana","Guyana","America","AME","GUY","GUY","the Co-operative Republic of Guyana","the Co-operative Republic of Guyana","Guyana","Guyana","Guyana"
